,time,value
663,1648897552.5410197,76.95
664,1648897852.8877027,76.97
665,1648898152.8530521,76.98
666,1648898452.674517,76.98
667,1648898754.249071,77.03
668,1648899054.2872279,77.03
669,1648899353.146316,76.99
670,1648899652.6375854,76.99
671,1648899952.797247,76.95
672,1648900252.4556186,76.95
673,1648900552.8946857,50.2
674,1648900852.9171162,50.24
675,1648901152.6811063,77.04
676,1648901452.7540362,77.09
677,1648901753.3011253,77.09
678,1648902052.385246,49.08
679,1648902353.4606144,48.53
680,1648902652.6859646,47.98
681,1648902952.8900018,47.34
682,1648903252.9322531,47.34
683,1648903552.7339745,47.24
684,1648903852.9337912,46.83
685,1648904153.0130334,46.83
686,1648904452.8024335,47.34
687,1648904752.631114,47.81
688,1648905052.9242187,47.76
689,1648905354.8881865,47.21
690,1648905653.3980029,46.72
691,1648905953.0517423,46.62
692,1648906252.5478907,44.19
693,1648906552.862515,43.54
694,1648906852.452541,43.47
695,1648907152.6860769,43.5
696,1648907452.9690301,46.5
697,1648907752.6210647,44.19
698,1648908052.7278538,47.95
699,1648908352.957267,53.64
700,1648908653.0617528,53.46
701,1648908952.7398643,47.95
702,1648909252.7997239,47.61
703,1648909552.911347,44.07
704,1648909852.5696254,43.43
705,1648910152.4334126,43.99
706,1648910452.6108453,43.99
707,1648910752.9370666,43.99
708,1648911052.4404178,47.9
709,1648911352.8401146,47.81
710,1648911652.94883,52.78
711,1648911952.8530595,52.82
712,1648912253.1004772,47.99
713,1648912552.7103534,44.22
714,1648912854.8913205,42.03
715,1648913153.2297783,43.42
716,1648913453.3409498,42.92
717,1648913752.4686584,42.88
718,1648914052.6923277,42.88
719,1648914352.6330206,43.35
720,1648914653.006468,43.54
721,1648914953.3767176,43.85
722,1648915253.2450998,46.38
723,1648915552.767288,43.05
724,1648915852.400755,43.02
725,1648916152.948674,52.73
726,1648916452.9010544,42.88
727,1648916752.6138299,42.35
728,1648917052.997107,42.25
729,1648917352.5192053,41.77
730,1648917652.7894633,41.77
731,1648917952.5669026,41.65
732,1648918252.9903271,41.8
733,1648918552.8102784,41.76
734,1648918852.8682222,40.91
735,1648919152.692303,34.22
736,1648919452.5007265,39.39
737,1648919752.910186,39.45
738,1648920052.497076,39.51
739,1648920354.3032973,34.22
740,1648920653.152724,33.11
741,1648920952.682448,34.19
742,1648921253.120567,34.22
743,1648921552.7410724,39.22
744,1648921852.714941,40.09
745,1648922152.823024,39.34
746,1648922452.828294,40.95
747,1648922752.3569367,41.21
748,1648923052.9491704,35.45
749,1648923352.5353682,35.49
750,1648923652.3580513,35.36
751,1648923952.7941804,35.33
752,1648924252.7339604,34.19
753,1648924552.9019132,34.19
754,1648924852.4277546,34.19
755,1648925152.917087,34.19
756,1648925454.3365529,34.32
757,1648925752.765601,34.28
758,1648926052.8135145,34.19
759,1648926352.5740492,33.08
760,1648926652.4971068,33.08
761,1648926952.9343114,33.7
762,1648927252.8274179,33.71
763,1648927552.8072562,33.85
764,1648927852.8213482,33.05
765,1648928152.7002609,33.05
766,1648928452.7200348,33.02
767,1648928752.6845973,33.02
768,1648929052.6404748,34.13
769,1648929352.725062,35.03
770,1648929652.8042486,31.91
771,1648929952.6959248,15.28
772,1648930252.9267852,19.7
773,1648930552.4229393,19.77
774,1648930852.4855874,19.7
775,1648931153.2641857,19.72
776,1648931452.5967667,32.11
777,1648931752.9990163,32.87
778,1648932052.4564114,33.97
779,1648932353.0842383,33.98
780,1648932652.963379,39.89
781,1648932952.6954296,41.06
782,1648933252.7456598,28.0
783,1648933554.908559,32.93
784,1648933853.8167434,33.73
785,1648934152.8277655,37.73
786,1648934453.764575,39.32
787,1648934753.444354,39.26
788,1648935053.048061,41.06
789,1648935352.9047606,44.55
790,1648935652.6283965,43.75
791,1648935952.5271,42.75
792,1648936253.0957625,42.67
793,1648936552.398557,43.7
794,1648936852.9977937,41.31
795,1648937152.9527717,41.42
796,1648937452.574507,41.69
797,1648937752.8519855,42.74
798,1648938052.4384391,43.22
799,1648938352.6430736,43.5
800,1648938652.9331794,43.92
801,1648938952.8810427,45.06
802,1648939252.388033,45.65
803,1648939552.4958372,47.41
804,1648939852.7221725,51.0
805,1648940152.605656,48.13
806,1648940452.967499,40.88
807,1648940752.4449074,40.28
808,1648941052.7640672,43.61
809,1648941352.8273766,37.87
810,1648941652.422432,37.91
811,1648941953.4486647,39.63
812,1648942252.928931,39.57
813,1648942552.5088017,41.29
814,1648942854.7132874,41.41
815,1648943152.7545493,41.49
816,1648943452.5559654,41.98
817,1648943752.485709,41.51
818,1648944052.7863781,42.01
819,1648944352.5662162,42.55
820,1648944652.854256,42.46
821,1648944953.0167944,42.06
822,1648945252.7821581,42.05
823,1648945552.7290685,41.93
824,1648945852.3810844,41.91
825,1648946152.7666433,41.87
826,1648946452.65943,41.42
827,1648946752.684529,41.18
828,1648947052.595276,41.18
829,1648947352.9467185,40.55
830,1648947652.8192616,497.86
831,1648947952.7331986,287.72
832,1648948252.8439896,62.68
833,1648948553.0247257,47.87
834,1648948852.2936327,45.65
835,1648949152.7914796,45.61
836,1648949452.7835305,45.15
837,1648949752.8221366,45.11
838,1648950052.3284407,45.11
839,1648950352.7409036,45.11
840,1648950652.3788028,44.53
841,1648950952.5068643,44.47
842,1648951254.7983894,44.7
843,1648951553.0863633,44.75
844,1648951852.6180096,44.8
845,1648952152.543257,44.96
846,1648952452.8934872,44.9
847,1648952752.9257953,44.25
848,1648953052.7816887,44.22
849,1648953352.860557,43.96
850,1648953652.777981,43.82
851,1648953952.6770744,43.82
852,1648954252.8757071,44.1
853,1648954552.8518515,44.14
854,1648954854.9649081,43.82
855,1648955152.9041173,43.35
856,1648955452.7302463,43.43
857,1648955752.4790323,43.4
858,1648956052.7818418,42.53
859,1648956352.4002445,42.53
860,1648956652.4720838,42.25
861,1648956952.9874003,42.09
862,1648957252.8943646,42.09
863,1648957552.588392,41.1
864,1648957852.7485154,39.23
865,1648958152.311959,35.29
866,1648958752.660338,42.31
867,1648959052.681701,46.63
868,1648959653.5711648,42.63
869,1648959653.5741735,42.29
870,1648959952.8845592,42.23
871,1648960252.4237285,42.2
872,1648960553.0766492,42.2
873,1648960852.7454891,39.82
874,1648961152.9119668,46.5
875,1648961452.9762998,42.16
876,1648961753.0348992,40.63
877,1648962052.8781178,46.59
878,1648962352.561993,47.87
879,1648962652.801552,47.86
880,1648962952.514415,47.36
881,1648963252.9530659,46.76
882,1648963552.579404,46.76
883,1648963852.702993,46.76
884,1648964152.8134854,46.76
885,1648964452.9407601,46.72
886,1648964752.5953107,46.68
887,1648965052.9550126,44.31
888,1648965352.8279912,44.51
889,1648965652.8842704,46.84
890,1648965952.5694606,47.02
891,1648966252.4818504,46.97
892,1648966553.8019214,44.78
893,1648966853.4126382,46.93
894,1648967153.2226188,46.93
895,1648967452.790319,44.79
896,1648967752.8483474,44.59
897,1648968052.5826023,44.5
898,1648968353.141707,44.14
899,1648968652.9307964,44.07
900,1648968952.7486625,44.39
901,1648969252.959958,48.79
902,1648969552.5716443,47.4
903,1648969853.115285,47.4
904,1648970152.5301318,47.4
905,1648970452.867146,46.89
906,1648970752.5370831,46.89
907,1648971052.7970974,46.85
908,1648971352.8353598,44.75
909,1648971653.119846,44.75
910,1648971952.8826296,44.76
911,1648972252.6289942,44.76
912,1648972552.9505887,44.71
913,1648972853.1203868,44.39
914,1648973152.7905254,45.99
915,1648973452.6250508,46.0
916,1648973752.5839822,45.95
917,1648974052.8578317,44.42
918,1648974352.498063,44.1
919,1648974652.681119,44.03
920,1648974954.209462,44.07
921,1648975253.2274182,44.38
922,1648975553.534223,44.69
923,1648975853.0297656,47.02
924,1648976152.9670327,49.1
925,1648976453.0281208,38.38
926,1648976752.6961951,40.45
927,1648977052.9346163,41.79
928,1648977352.7930565,42.26
929,1648977652.779141,42.75
930,1648977953.0057862,42.79
931,1648978252.657703,42.5
932,1648978552.277313,42.81
933,1648978852.9307818,42.5
934,1648979152.8999388,42.79
935,1648979452.3810627,42.54
936,1648979752.9252317,42.46
937,1648980054.3351603,42.6
938,1648980353.4183016,42.43
939,1648980652.6001294,42.35
940,1648980952.289095,42.32
941,1648981253.0288162,42.52
942,1648981553.1691446,42.28
943,1648981852.4515057,42.28
944,1648982153.443566,42.28
945,1648982452.8373704,42.24
946,1648982752.5600688,42.24
